tau0,tau1,tau2a,cost,recall,precision,f1,n_selected,tp,cost_per_catch,within_budget
0.85,0.85,0.85,4800.0,0.19631901840490798,1.0,0.3282051282051282,32,32,150.0,False
0.85,0.85,0.88,3900.0,0.15950920245398773,1.0,0.2751322751322751,26,26,150.0,False
0.85,0.85,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.85,0.85,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.85,0.85,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.88,0.85,3900.0,0.15950920245398773,1.0,0.2751322751322751,26,26,150.0,False
0.85,0.88,0.88,3900.0,0.15950920245398773,1.0,0.2751322751322751,26,26,150.0,False
0.85,0.88,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.85,0.88,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.85,0.88,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.9,0.85,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.85,0.9,0.88,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.85,0.9,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.85,0.9,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.85,0.9,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.92,0.85,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.85,0.92,0.88,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.85,0.92,0.9,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.85,0.92,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.85,0.92,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.95,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.95,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.95,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.95,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.85,0.95,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.85,0.85,3900.0,0.15950920245398773,1.0,0.2751322751322751,26,26,150.0,False
0.88,0.85,0.88,3900.0,0.15950920245398773,1.0,0.2751322751322751,26,26,150.0,False
0.88,0.85,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.88,0.85,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.88,0.85,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.88,0.85,3900.0,0.15950920245398773,1.0,0.2751322751322751,26,26,150.0,False
0.88,0.88,0.88,3900.0,0.15950920245398773,1.0,0.2751322751322751,26,26,150.0,False
0.88,0.88,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.88,0.88,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.88,0.88,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.9,0.85,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.88,0.9,0.88,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.88,0.9,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.88,0.9,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.88,0.9,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.92,0.85,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.88,0.92,0.88,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.88,0.92,0.9,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.88,0.92,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.88,0.92,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.95,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.95,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.95,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.95,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.88,0.95,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.85,0.85,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.85,0.88,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.85,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.85,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.9,0.85,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.88,0.85,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.88,0.88,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.88,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.88,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.9,0.88,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.9,0.85,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.9,0.88,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.9,0.9,3150.0,0.12883435582822086,1.0,0.2282608695652174,21,21,150.0,False
0.9,0.9,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.9,0.9,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.92,0.85,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.9,0.92,0.88,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.9,0.92,0.9,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.9,0.92,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.9,0.92,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.95,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.95,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.95,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.95,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.9,0.95,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.85,0.85,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.85,0.88,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.85,0.9,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.85,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.85,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.88,0.85,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.88,0.88,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.88,0.9,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.88,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.88,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.9,0.85,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.9,0.88,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.9,0.9,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.9,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.9,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.92,0.85,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.92,0.88,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.92,0.9,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.92,0.92,2550.0,0.10429447852760736,1.0,0.18888888888888886,17,17,150.0,True
0.92,0.92,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.95,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.95,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.95,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.95,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.92,0.95,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.85,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.85,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.85,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.85,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.85,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.88,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.88,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.88,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.88,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.88,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.9,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.9,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.9,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.9,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.9,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.92,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.92,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.92,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.92,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.92,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.95,0.85,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.95,0.88,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.95,0.9,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.95,0.92,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
0.95,0.95,0.95,1650.0,0.06748466257668712,1.0,0.1264367816091954,11,11,150.0,True
